"author_name"	"author_name_official"	"author_gender"	"author_birth"	"author_death"	"author_dialect"	"author_dialect_broad"	"novel_name"	"novel_name_official"	"novel_date"	"audience"	"loger_publishing"	"tokens"	"regular_mtld"	"batch"	"novel_period"
""	"George Ade"	"male"	1866	1944	"American"	"American"	""	"People You Know"	1903	""	NA	27242	99.0954517119393	2	"twentieth century"
""	"Geraldine Bonner"	"female"	1870	1930	"American"	"American"	""	"The book of Evelyn"	1913	""	NA	66931	114.945928712857	2	"twentieth century"
""	"Gertrude Atherton"	"female"	1857	1948	"American"	"American"	""	"Ancestors"	1907	""	NA	198835	106.346552265785	2	"twentieth century"
""	"Horatio Alger"	"male"	1832	1899	"American"	"American"	""	"Helen Ford"	1866	"adult"	NA	79819	120.153305821675	2	"nineteenth century"
""	"Irving Bacheller"	"male"	1859	1950	"American"	"American"	""	"Eben Holden: A Tale of the North Country"	1900	""	NA	88534	96.8706314795668	2	"nineteenth century"
""	"Isabella Macdonald Alden "	"female"	1841	1930	"American"	"American"	""	"Ruth Erskine's Son "	1907	""	NA	76156	92.2133814621026	2	"twentieth century"
""	"James Lane Allen"	"male"	1849	1925	"American"	"American"	""	"A Cathedral Singer"	1916	""	NA	19371	71.8307912379087	2	"twentieth century"
""	"John Turvill Adams"	"male"	1805	1882	"American"	"American"	""	"The Knight of the Golden Melice"	1860	""	NA	136918	103.520277855684	2	"nineteenth century"
""	"Joseph Alexander Altsheler"	"male"	1862	1919	"American"	"American"	""	"The Eyes of the Woods, a story of the ancient wilderness"	1917	"juvenile"	NA	85980	92.2172864477074	2	"twentieth century"
""	"Lilian Bell"	"female"	1867	1929	"American"	"American"	""	"Carolina Lee"	1906	""	NA	73959	98.9572022596351	2	"twentieth century"
""	"Mary C. Ames"	"female"	1831	1884	"American"	"American"	""	"Ten Years in Washington"	1870	""	NA	169696	78.4282043008226	2	"nineteenth century"
""	"Mary Ellen Bamford"	"female"	1857	1946	"American"	"American"	""	"Out of the Triangle: a Story of the Far East. "	1898	""	NA	40461	82.8958301033283	2	"nineteenth century"
